"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"02/04/2023","0","CO","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0",".",".","."
"02/05/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39","6","49"
"02/06/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","36",".","57"
"02/07/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","44",".","53"
"02/08/2023","48","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","40","4","48"
"02/09/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","41",".","55"
"02/10/2023","36","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34",".","36"
"02/11/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42","1","21"
"02/12/2023","47","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","42",".","47"
"02/13/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","44",".","57"
"02/14/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","44","3","49"
"02/15/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","39"
"02/16/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37",".","24"
"02/17/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","38","2","23"
"02/18/2023","40","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40",".","32"
"02/19/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","52"
"02/20/2023","40","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39","5","40"
"02/21/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","38",".","32"
"02/22/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37",".","26"
"02/23/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37","3","28"
"02/24/2023","40","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40",".","26"
"02/25/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","32"
"02/26/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","40","5","53"
"02/27/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","43",".","54"
"02/28/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","35"
"03/01/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","2","26"
"03/02/2023","41","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","39",".","41"
"03/03/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","38"
"03/04/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","2","31"
"03/05/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","44",".","54"
"03/06/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","21"
"03/07/2023","41","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","41","1","20"
"03/08/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","23"
"03/09/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","36",".","34"
"03/10/2023","46","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0",".","6","46"
"03/11/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","41"
"03/12/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","46",".","55"
"03/13/2023","51","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","43","5","51"
"03/14/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","16"
"03/15/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","15"
"03/16/2023","47","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","47",".","34"
"03/17/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","49","6","52"
"03/18/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","30"
"03/19/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","2","22"
"03/20/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","40"
"03/21/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","49",".","52"
"03/22/2023","50","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","50","7","42"
"03/23/2023","59","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","46",".","59"
"03/24/2023","40","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40",".","27"
"03/25/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42","3","33"
"03/26/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","24"
"03/27/2023","46","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46",".","34"
"03/28/2023","46","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46","6","38"
"03/29/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","38"
"03/30/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45",".","26"
"03/31/2023","50","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","50","5","37"
"04/01/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54",".","37"
"04/02/2023","46","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46",".","24"
"04/03/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54","6","29"
"04/04/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","32"
"04/05/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","32"
"04/06/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48","5","33"
"04/07/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45",".","25"
"04/08/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45",".","27"
"04/09/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45","3","34"
"04/10/2023","64","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","64",".","41"
"04/11/2023","80","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","80",".","54"
"04/12/2023","61","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","61","5","29"
"04/13/2023","101","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","101",".","60"
"04/14/2023","67","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","67",".","51"
"04/15/2023","90","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","90",".","54"
"04/16/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","24"
"04/17/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","8"
"04/18/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34","1","9"
"04/19/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","36",".","17"
"04/20/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42","3","19"
"04/21/2023","49","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","49","7","39"
"04/22/2023","46","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46",".","43"
"04/23/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","1","9"
"04/24/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37","2","34"
"04/25/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","38",".","26"
"04/26/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","36"
"04/27/2023","47","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","45","4","47"
"04/28/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","40"
"04/29/2023","48","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","31"
"04/30/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","1","13"
"05/01/2023","43","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","43",".","13"
"05/02/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","36",".","18"
"05/03/2023","15","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0",".","0","15"
"05/04/2023","18","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0",".",".","18"
"05/05/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","30"
"05/06/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42","4","29"
"05/07/2023","41","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","41",".","27"
"05/08/2023","46","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46",".","30"
"05/09/2023","54","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","46","9","54"
"05/10/2023","48","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","46",".","48"
"05/11/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","45",".","53"
"05/12/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54","9","43"
"05/13/2023","44","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","42",".","44"
"05/14/2023","40","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40",".","21"
"05/15/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45","7","34"
"05/16/2023","37","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0",".",".","37"
"05/17/2023","38","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","38",".","23"
"05/18/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44","4","25"
"05/19/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54",".","49"
"05/20/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","28"
"05/21/2023","56","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","35","10","56"
"05/22/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","24"
"05/23/2023","55","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","48",".","55"
"05/24/2023","43","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","37","10","43"
"05/25/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","22"
"05/26/2023","43","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","43",".","29"
"05/27/2023","43","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","43","6","38"
"05/28/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54",".","49"
"05/29/2023","47","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","47",".","42"
"05/30/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54","11","41"
"05/31/2023","80","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","80",".","62"
"06/01/2023","61","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","61",".","61"
"06/02/2023","74","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","74","19","65"
"06/03/2023","38","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","33",".","38"
"06/04/2023","29","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26",".","29"
"06/05/2023","72","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","41","12","72"
"06/06/2023","104","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","32",".","104"
"06/07/2023","71","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","24",".","71"
"06/08/2023","23","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","16","1","23"
"06/09/2023","29","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","19",".","29"
"06/10/2023","37","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","29",".","37"
"06/11/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","37","8","53"
"06/12/2023","77","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","77",".","74"
"06/13/2023","51","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","51",".","51"
"06/14/2023","41","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39","8","41"
"06/15/2023","41","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","40",".","41"
"06/16/2023","63","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","1","41",".","63"
"06/17/2023","61","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","29","6","61"
"06/18/2023","23","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","18",".","23"
"06/19/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31",".","25"
"06/20/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31","6","30"
"06/21/2023","32","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","32",".","32"
"06/22/2023","42","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","27"
"06/23/2023","41","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","41","6","27"
"06/24/2023","23","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","23",".","18"
"06/25/2023","160","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","8","32",".","160"
"06/26/2023","135","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","7","39","17","135"
"06/27/2023","45","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","45",".","23"
"06/28/2023","44","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","44",".","36"
"06/29/2023","62","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","12","15","62"
"06/30/2023","79","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","2","51",".","79"
"07/01/2023","152","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","5","90",".","152"
"07/02/2023","81","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","5","46","19","81"
"07/03/2023","37","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","2","28",".","37"
"07/04/2023","54","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","2","39",".","54"
"07/05/2023","58","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","1","32","18","58"
"07/06/2023","60","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","42",".","60"
"07/07/2023","52","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","41",".","52"
"07/08/2023","36","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","36","8","36"
"07/09/2023","38","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34",".","38"
"07/10/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","19"
"07/11/2023","41","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","41","9","40"
"07/12/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","41",".","53"
"07/13/2023","54","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","54",".","49"
"07/14/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37","6","29"
"07/15/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","32"
"07/16/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","34",".","28"
"07/17/2023","93","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","48","31","93"
"07/18/2023","115","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","44",".","115"
"07/19/2023","64","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","31",".","64"
"07/20/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","35","6","34"
"07/21/2023","44","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","42",".","44"
"07/22/2023","31","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","30",".","31"
"07/23/2023","48","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","30","9","48"
"07/24/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","42",".","53"
"07/25/2023","50","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","50",".","49"
"07/26/2023","68","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","46","20","68"
"07/27/2023","58","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","44",".","58"
"07/28/2023","56","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","56"
"07/29/2023","41","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","25","8","41"
"07/30/2023","25","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","25",".","24"
"07/31/2023","28","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","25",".","28"
"08/01/2023","27","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","27","3","19"
"08/02/2023","28","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","28",".","24"
"08/03/2023","52","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","1","47",".","52"
"08/04/2023","46","PM2.5","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","46","9","46"
"08/05/2023","55","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","31",".","55"
"08/06/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","28",".","52"
"08/07/2023","42","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1",".","6","42"
"08/08/2023","19","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1",".",".","19"
"08/09/2023","49","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1",".",".","49"
"08/10/2023","56","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1",".","12","56"
"08/11/2023","38","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","38",".","38"
"08/12/2023","39","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","39",".","33"
"08/13/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35","6","24"
"08/14/2023","31","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","27",".","31"
"08/15/2023","36","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26",".","36"
"08/16/2023","23","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","21","6","23"
"08/17/2023","36","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","36",".","32"
"08/18/2023","34","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS",".","34",".","26"
"08/19/2023","26","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS",".","21","4","26"
"08/20/2023","71","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","34",".","71"
"08/21/2023","60","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","28",".","60"
"08/22/2023","48","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","31","10","48"
"08/23/2023","38","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","33",".","38"
"08/24/2023","37","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","37",".","34"
"08/25/2023","29","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","29","3","29"
"08/26/2023","31","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","19",".","31"
"08/27/2023","43","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","16",".","43"
"08/28/2023","44","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","33","9","44"
"08/29/2023","47","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","30",".","47"
"08/30/2023","35","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","35",".","32"
"08/31/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32","6","23"
"09/01/2023","32","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","27",".","32"
"09/02/2023","38","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","34",".","38"
"09/03/2023","52","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","40","15","52"
"09/04/2023","57","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","44",".","57"
"09/05/2023","59","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","34",".","59"
"09/06/2023","58","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","35","19","58"
"09/07/2023","53","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","36",".","53"
"09/08/2023","39","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","35",".","39"
"09/09/2023","18","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","1","18","5","18"
"09/10/2023","20","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","15",".","20"
"09/11/2023","24","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","13",".","24"
"09/12/2023","27","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","24","5","27"
"09/13/2023","31","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","31",".","24"
"09/14/2023","23","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","23",".","18"
"09/15/2023","35","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","26","6","35"
"09/16/2023","42","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","27",".","42"
"09/17/2023","33","PM2.5","City of Burlington Parking Lot","50-007-0014","AQS","0","29",".","33"
"09/18/2023","32","Ozone","PROCTOR MAPLE RESEARCH CTR","50-007-0007","AQS","0","32","4","28"
